timestamp,x,y,z,roll,pitch,yaw
0,320.72000000000003,79.189999999999998,213.12000000000000,172.90000000000001,-83,7
1,320.76999999999998,79.409999999999997,213.09999999999999,172.90000000000001,-83,7
2,320.86000000000001,79.849999999999994,213.06999999999999,172.90000000000001,-83,7
3,321.0,80.510000000000005,213.03000000000000,172.90000000000001,-83,7
4,321.13000000000000,81.170000000000002,212.99000000000001,172.90000000000001,-83,7
5,321.25999999999999,81.829999999999998,212.94000000000000,172.90000000000001,-83,7
6,321.38000000000000,82.489999999999995,212.90000000000001,172.90000000000001,-83,7
7,321.50999999999999,83.159999999999997,212.86000000000001,172.90000000000001,-83,7
8,321.63000000000000,83.819999999999993,212.81999999999999,172.90000000000001,-83,7
9,321.74000000000001,84.480000000000004,212.77000000000001,172.90000000000001,-83,7
10,321.85000000000002,85.150000000000006,212.72999999999999,172.90000000000001,-83,7
11,321.95999999999998,85.819999999999993,212.69000000000000,172.90000000000001,-83,7
12,322.06999999999999,86.480000000000004,212.65000000000001,172.90000000000001,-83,7
13,322.17000000000002,87.150000000000006,212.61000000000001,172.90000000000001,-83,7
14,322.26999999999998,87.810000000000002,212.56000000000000,172.90000000000001,-83,7
15,322.37000000000000,88.480000000000004,212.52000000000001,172.90000000000001,-83,7
16,322.47000000000003,89.150000000000006,212.47999999999999,172.90000000000001,-83,7
17,322.57999999999998,89.810000000000002,212.43000000000001,172.90000000000001,-83,7
18,322.69999999999999,90.469999999999999,212.38000000000000,172.90000000000001,-83,7
19,322.79000000000002,91.170000000000002,212.33000000000001,172.90000000000001,-83,7
20,323.35000000000002,91.560000000000002,212.03999999999999,172.90000000000001,-83,7
21,323.98000000000002,91.599999999999994,211.72999999999999,172.90000000000001,-83,7
22,324.35000000000002,91.010000000000005,211.5,172.90000000000001,-83,7
23,324.62000000000000,90.430000000000007,211.31999999999999,172.90000000000001,-83,7
24,324.85000000000002,89.810000000000002,211.13999999999999,172.90000000000001,-83,7
25,325.05000000000001,89.189999999999998,210.97999999999999,172.90000000000001,-83,7
26,325.23000000000002,88.560000000000002,210.81999999999999,172.90000000000001,-83,7
27,325.38000000000000,87.920000000000002,210.66999999999999,172.90000000000001,-83,7
28,325.50999999999999,87.269999999999996,210.53000000000000,172.90000000000001,-83,7
29,325.63000000000000,86.620000000000005,210.38999999999999,172.90000000000001,-83,7
30,325.73000000000002,85.959999999999994,210.27000000000001,172.90000000000001,-83,7
31,325.82999999999998,85.310000000000002,210.13999999999999,172.90000000000001,-83,7
32,325.91000000000003,84.650000000000006,210.02000000000001,172.90000000000001,-83,7
33,325.99000000000001,83.989999999999995,209.90000000000001,172.90000000000001,-83,7
34,326.06999999999999,83.329999999999998,209.78000000000000,172.90000000000001,-83,7
35,326.13999999999999,82.670000000000002,209.66000000000000,172.90000000000001,-83,7
36,326.20999999999998,82.0,209.53999999999999,172.90000000000001,-83,7
37,326.27999999999997,81.340000000000003,209.41999999999999,172.90000000000001,-83,7
38,326.33999999999997,80.680000000000007,209.30000000000001,172.90000000000001,-83,7
39,326.39999999999998,80.019999999999996,209.16999999999999,172.90000000000001,-83,7
40,326.45999999999998,79.359999999999999,209.03999999999999,172.90000000000001,-83,7
41,326.51999999999998,78.700000000000003,208.91000000000000,172.90000000000001,-83,7
42,326.57999999999998,78.040000000000006,208.78000000000000,172.90000000000001,-83,7
43,326.63999999999999,77.379999999999995,208.65000000000001,172.90000000000001,-83,7
44,326.69000000000000,76.719999999999999,208.52000000000001,172.90000000000001,-83,7
45,326.75,76.060000000000002,208.38000000000000,172.90000000000001,-83,7
46,326.80000000000001,75.400000000000006,208.25,172.90000000000001,-83,7
47,326.85000000000002,74.739999999999995,208.11000000000001,172.90000000000001,-83,7
48,326.91000000000003,74.079999999999998,207.97000000000000,172.90000000000001,-83,7
49,326.95999999999998,73.420000000000002,207.83000000000001,172.90000000000001,-83,7
50,327.00999999999999,72.760000000000005,207.69000000000000,172.90000000000001,-83,7
51,327.06999999999999,72.109999999999999,207.53999999999999,172.90000000000001,-83,7
52,327.12000000000000,71.450000000000003,207.40000000000001,172.90000000000001,-83,7
53,327.17000000000002,70.790000000000006,207.25,172.90000000000001,-83,7
54,327.23000000000002,70.129999999999995,207.11000000000001,172.90000000000001,-83,7
55,327.27999999999997,69.469999999999999,206.96000000000001,172.90000000000001,-83,7
56,327.31999999999999,68.819999999999993,206.81999999999999,172.90000000000001,-83,7
57,327.37000000000000,68.159999999999997,206.66999999999999,172.90000000000001,-83,7
58,327.41000000000003,67.5,206.53000000000000,172.90000000000001,-83,7
59,327.44999999999999,66.840000000000003,206.38000000000000,172.90000000000001,-83,7
60,327.49000000000001,66.180000000000007,206.24000000000001,172.90000000000001,-83,7
61,327.51999999999998,65.519999999999996,206.09000000000000,172.90000000000001,-83,7
62,327.55000000000001,64.859999999999999,205.94999999999999,172.90000000000001,-83,7
63,327.57999999999998,64.200000000000003,205.81000000000000,172.90000000000001,-83,7
64,327.61000000000001,63.539999999999999,205.66000000000000,172.90000000000001,-83,7
65,327.63000000000000,62.880000000000003,205.52000000000001,172.90000000000001,-83,7
66,327.64999999999998,62.229999999999997,205.37000000000000,172.90000000000001,-83,7
67,327.67000000000002,61.570000000000000,205.22999999999999,172.90000000000001,-83,7
68,327.69000000000000,60.909999999999997,205.08000000000001,172.90000000000001,-83,7
69,327.70999999999998,60.25,204.94000000000000,172.90000000000001,-83,7
70,327.73000000000002,59.579999999999998,204.80000000000001,172.90000000000001,-83,7
71,327.74000000000001,58.920000000000002,204.66000000000000,172.90000000000001,-83,7
